epoch,train_loss,val_loss,precision_0_5,recall_0_5,f1_0_5
1,0.5831853974949229,0.5297021865844727,0.8866666666666667,0.806060606060606,0.8444444444444444
2,0.4203497133471749,0.43781399726867676,0.9259259259259259,0.9090909090909091,0.9174311926605505
3,0.3424242995002053,0.40317535400390625,0.9226190476190477,0.9393939393939394,0.9309309309309309
4,0.31757201173088767,0.3759591281414032,0.9259259259259259,0.9090909090909091,0.9174311926605505
5,0.2984624071554704,0.409030556678772,0.9085714285714286,0.9636363636363636,0.9352941176470588
6,0.2783589086749337,0.3623124063014984,0.9176470588235294,0.9454545454545454,0.9313432835820895
7,0.2730791016058488,0.3400832414627075,0.9320987654320988,0.9151515151515152,0.9235474006116208
8,0.24710151607340033,0.38023173809051514,0.9137931034482759,0.9636363636363636,0.9380530973451328
9,0.2403646003116261,0.327981561422348,0.9371069182389937,0.9030303030303031,0.9197530864197531
10,0.2377225626598705,0.3672196865081787,0.9127906976744186,0.9515151515151515,0.9317507418397626
11,0.22857657887718894,0.341340035200119,0.9281437125748503,0.9393939393939394,0.9337349397590361
12,0.22494193748994307,0.3511040210723877,0.9235294117647059,0.9515151515151515,0.9373134328358209
13,0.20472296611829238,0.3507250249385834,0.9176470588235294,0.9454545454545454,0.9313432835820895
14,0.1902066718448292,0.3434790074825287,0.9171597633136095,0.9393939393939394,0.9281437125748503
15,0.19534033076329665,0.35691654682159424,0.9075144508670521,0.9515151515151515,0.9289940828402367
16,0.19908413616093723,0.3564314842224121,0.9069767441860465,0.9454545454545454,0.9258160237388724
17,0.18157037130811,0.3496190905570984,0.9117647058823529,0.9393939393939394,0.9253731343283582
18,0.18731099556792866,0.3294967710971832,0.9166666666666666,0.9333333333333333,0.924924924924925
19,0.18523764366453344,0.3635033965110779,0.9127906976744186,0.9515151515151515,0.9317507418397626
20,0.18011171628128397,0.39330798387527466,0.9075144508670521,0.9515151515151515,0.9289940828402367
21,0.18209377960725265,0.33965179324150085,0.9117647058823529,0.9393939393939394,0.9253731343283582
22,0.17442434538494456,0.3863392174243927,0.9075144508670521,0.9515151515151515,0.9289940828402367
23,0.17626902975819328,0.3565758764743805,0.9127906976744186,0.9515151515151515,0.9317507418397626
24,0.16256000914356925,0.3349103629589081,0.9101796407185628,0.9212121212121213,0.9156626506024096
