epoch,train_loss,val_loss,precision_0_5,recall_0_5,f1_0_5
1,0.6679326842370894,0.9235425591468811,0.8571428571428571,0.06593406593406594,0.12244897959183673
2,0.5440725605603959,0.8412137627601624,0.9516129032258065,0.3241758241758242,0.48360655737704916
3,0.46193547380346284,0.78862464427948,0.9605263157894737,0.4010989010989011,0.5658914728682171
4,0.41758424871972094,0.8606128096580505,0.9577464788732394,0.37362637362637363,0.5375494071146245
5,0.3867652486251897,0.7965739369392395,0.9634146341463414,0.4340659340659341,0.5984848484848485
6,0.34711927457320313,0.8268053531646729,0.9620253164556962,0.4175824175824176,0.5823754789272031
7,0.33633222936900775,0.7898070812225342,0.967032967032967,0.4835164835164835,0.6446886446886447
8,0.32677270373847217,0.820841372013092,0.9655172413793104,0.46153846153846156,0.6245353159851301
9,0.3102280728967279,0.7831035256385803,0.9680851063829787,0.5,0.6594202898550725
10,0.2764710164855749,0.7412627339363098,0.9702970297029703,0.5384615384615384,0.6925795053003534
11,0.2790430871326807,0.7952641844749451,0.9680851063829787,0.5,0.6594202898550725
12,0.276183452425167,0.7687491774559021,0.9696969696969697,0.5274725274725275,0.6832740213523132
13,0.25691914003353067,0.7590453624725342,0.9693877551020408,0.521978021978022,0.6785714285714286
14,0.2556578961433176,0.7860261797904968,0.9680851063829787,0.5,0.6594202898550725
15,0.2493724024569066,0.7410750389099121,0.9711538461538461,0.554945054945055,0.7062937062937062
16,0.2434445331807123,0.771091639995575,0.9702970297029703,0.5384615384615384,0.6925795053003534
17,0.2234193185253608,0.667227029800415,0.9649122807017544,0.6043956043956044,0.7432432432432432
18,0.22566029779548974,0.7776203751564026,0.9702970297029703,0.5384615384615384,0.6925795053003534
19,0.23026852587232616,0.7196032404899597,0.9636363636363636,0.5824175824175825,0.726027397260274
20,0.21344689128221278,0.7991288900375366,0.9705882352941176,0.5439560439560439,0.6971830985915493
21,0.20450540702459122,0.7659013867378235,0.9626168224299065,0.5659340659340659,0.71280276816609
22,0.21918451628063332,0.809565544128418,0.9705882352941176,0.5439560439560439,0.6971830985915493
23,0.18628837321924957,0.8222891688346863,0.97,0.532967032967033,0.6879432624113475
24,0.1900622775527331,0.723602294921875,0.963963963963964,0.5879120879120879,0.7303754266211604
25,0.19839659504016013,0.8070284724235535,0.9622641509433962,0.5604395604395604,0.7083333333333334
26,0.18710048334475574,0.7950790524482727,0.9622641509433962,0.5604395604395604,0.7083333333333334
27,0.18136392021418302,0.7504485249519348,0.9636363636363636,0.5824175824175825,0.726027397260274
28,0.1920647690323499,0.7885400652885437,0.9619047619047619,0.554945054945055,0.7038327526132404
29,0.18810338067974267,0.7661099433898926,0.9629629629629629,0.5714285714285714,0.7172413793103448
30,0.1836959678242063,0.7401973605155945,0.9636363636363636,0.5824175824175825,0.726027397260274
31,0.18064574466052233,0.8567551374435425,0.9611650485436893,0.5439560439560439,0.6947368421052632
32,0.17637246787377278,0.7923063635826111,0.9626168224299065,0.5659340659340659,0.71280276816609
