epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2928.02,1.66881,1.50425,0.00684,0.68807,0.53361,0.62479,0.33324,1.65372,1.38987,0.00811,0.00098525,0.00098525,0.00098525
43,2975.38,1.66106,1.48048,0.0067,0.65248,0.53782,0.58148,0.31222,1.67082,1.46535,0.0079,0.0009605,0.0009605,0.0009605
44,3022.82,1.71845,1.45365,0.00666,0.61302,0.57563,0.60897,0.31918,1.73137,1.4184,0.00854,0.00093575,0.00093575,0.00093575
45,3070.57,1.65419,1.45285,0.00731,0.63534,0.53782,0.59089,0.31613,1.74708,1.44629,0.00871,0.000911,0.000911,0.000911
46,3118.78,1.70424,1.45584,0.00689,0.69299,0.55042,0.60971,0.30775,1.75635,1.42213,0.00877,0.00088625,0.00088625,0.00088625
47,3167.26,1.69344,1.48807,0.00699,0.65472,0.56569,0.62109,0.34631,1.69449,1.36882,0.00865,0.0008615,0.0008615,0.0008615
48,3215.18,1.64644,1.40497,0.00701,0.6747,0.5,0.58965,0.32119,1.69379,1.39183,0.00789,0.00083675,0.00083675,0.00083675
49,3263.12,1.65074,1.38111,0.00641,0.6822,0.56303,0.63137,0.34563,1.67247,1.37357,0.00797,0.000812,0.000812,0.000812
50,3310.16,1.61558,1.41777,0.00643,0.65474,0.5498,0.61151,0.33897,1.63596,1.39829,0.00792,0.00078725,0.00078725,0.00078725
51,3357.15,1.57358,1.33562,0.00664,0.72963,0.54202,0.62815,0.3394,1.63086,1.34992,0.00788,0.0007625,0.0007625,0.0007625
52,3404.65,1.57543,1.30539,0.00627,0.69821,0.52941,0.58734,0.30978,1.70622,1.44218,0.0083,0.00073775,0.00073775,0.00073775
53,3451.67,1.59373,1.31295,0.00628,0.72427,0.55462,0.60526,0.32245,1.67864,1.5943,0.00858,0.000713,0.000713,0.000713
54,3499.03,1.60439,1.31711,0.00613,0.724,0.53361,0.60747,0.32384,1.71049,1.40281,0.0087,0.00068825,0.00068825,0.00068825
55,3546.45,1.59616,1.3378,0.00621,0.74006,0.55462,0.62353,0.34281,1.61781,1.35483,0.00821,0.0006635,0.0006635,0.0006635
56,3594.09,1.57961,1.3115,0.00659,0.74468,0.55462,0.64765,0.34763,1.61128,1.37571,0.00802,0.00063875,0.00063875,0.00063875
57,3641.57,1.58781,1.31924,0.00666,0.62737,0.58403,0.60005,0.32318,1.65488,1.41759,0.00813,0.000614,0.000614,0.000614
58,3689.05,1.55339,1.18568,0.00609,0.6839,0.54622,0.61033,0.32184,1.69507,1.46413,0.0082,0.00058925,0.00058925,0.00058925
59,3736.54,1.5742,1.22596,0.00616,0.7028,0.56634,0.63571,0.35092,1.6385,1.3425,0.00808,0.0005645,0.0005645,0.0005645
60,3783.97,1.52466,1.20305,0.00559,0.62126,0.58403,0.62559,0.35077,1.62222,1.34072,0.00785,0.00053975,0.00053975,0.00053975
61,3831.88,1.57316,1.28275,0.006,0.7085,0.56303,0.64519,0.35573,1.62509,1.31905,0.0081,0.000515,0.000515,0.000515
62,3879.61,1.50976,1.21577,0.00601,0.68386,0.56351,0.62735,0.34599,1.61996,1.4598,0.00813,0.00049025,0.00049025,0.00049025
63,3927.27,1.50298,1.16941,0.00606,0.69683,0.59664,0.63962,0.35081,1.65868,1.31692,0.00846,0.0004655,0.0004655,0.0004655
64,3975.46,1.49191,1.15471,0.00621,0.68779,0.55537,0.63661,0.35298,1.60646,1.36603,0.00812,0.00044075,0.00044075,0.00044075
65,4023.11,1.5103,1.14925,0.00554,0.70092,0.60504,0.64001,0.35042,1.5963,1.3936,0.00776,0.000416,0.000416,0.000416
66,4064.55,1.44105,1.02571,0.00622,0.62771,0.58824,0.62479,0.34375,1.66644,1.35064,0.00795,0.00039125,0.00039125,0.00039125
67,4106.39,1.40288,0.96482,0.00677,0.66239,0.59244,0.63813,0.3541,1.62198,1.32792,0.0079,0.0003665,0.0003665,0.0003665
68,4148.42,1.40867,0.98629,0.00671,0.74745,0.52521,0.62131,0.33992,1.59807,1.38874,0.00773,0.00034175,0.00034175,0.00034175
69,4190.21,1.37755,0.97883,0.00652,0.72847,0.54622,0.63419,0.34581,1.60077,1.39944,0.00768,0.000317,0.000317,0.000317
70,4232.06,1.40672,0.97472,0.00621,0.6748,0.57563,0.62727,0.34545,1.62204,1.3476,0.00791,0.00029225,0.00029225,0.00029225
71,4273.92,1.39703,0.92382,0.00583,0.69605,0.59664,0.63211,0.35141,1.60262,1.31675,0.00781,0.0002675,0.0002675,0.0002675
72,4315.83,1.40435,0.97487,0.00644,0.75298,0.56356,0.64834,0.34348,1.6367,1.32887,0.0079,0.00024275,0.00024275,0.00024275
73,4358.2,1.38107,0.90615,0.00598,0.74794,0.57563,0.64315,0.35776,1.60405,1.34144,0.00756,0.000218,0.000218,0.000218
74,4399.71,1.36056,0.91503,0.00594,0.72313,0.57983,0.63856,0.36449,1.58611,1.33332,0.00772,0.00019325,0.00019325,0.00019325
75,4441.51,1.3404,0.91202,0.00635,0.66011,0.62834,0.62442,0.35323,1.62395,1.32175,0.00765,0.0001685,0.0001685,0.0001685
76,4483.42,1.35076,0.89489,0.00561,0.61895,0.62789,0.62715,0.34952,1.61176,1.34472,0.00763,0.00014375,0.00014375,0.00014375
77,4525.3,1.34784,0.88823,0.00602,0.75463,0.55567,0.63215,0.352,1.59672,1.34269,0.00736,0.000119,0.000119,0.000119
78,4566.98,1.33516,0.86443,0.00597,0.69213,0.61345,0.65119,0.36114,1.62497,1.25826,0.00803,9.425e-05,9.425e-05,9.425e-05
79,4608.85,1.34017,0.84539,0.00616,0.67227,0.63445,0.62639,0.35117,1.60955,1.33484,0.00794,6.95e-05,6.95e-05,6.95e-05
80,4650.75,1.33886,0.85416,0.0058,0.65412,0.63571,0.62943,0.35007,1.60845,1.30579,0.00764,4.475e-05,4.475e-05,4.475e-05
