epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2180.16,1.72875,1.72747,0.00793,0.58149,0.64216,0.60959,0.34629,1.55806,1.27994,0.00334,0.00098525,0.00098525,0.00098525
43,2230.62,1.75344,1.64046,0.00792,0.53684,0.61931,0.59477,0.34355,1.54398,1.69788,0.00323,0.0009605,0.0009605,0.0009605
44,2281.61,1.76644,1.76685,0.00754,0.60786,0.60028,0.61465,0.34708,1.5542,1.36082,0.0031,0.00093575,0.00093575,0.00093575
45,2332.51,1.70073,1.69079,0.00813,0.67022,0.62255,0.67883,0.40993,1.50563,1.23046,0.00308,0.000911,0.000911,0.000911
46,2384.29,1.67388,1.57173,0.00734,0.72388,0.61687,0.69612,0.40397,1.51441,1.21048,0.00294,0.00088625,0.00088625,0.00088625
47,2435.84,1.64933,1.56805,0.00683,0.58548,0.56863,0.58748,0.34256,1.51376,1.37541,0.00307,0.0008615,0.0008615,0.0008615
48,2486.54,1.63081,1.52255,0.0074,0.69644,0.59314,0.67434,0.38136,1.58334,1.1959,0.00316,0.00083675,0.00083675,0.00083675
49,2537.91,1.71674,1.55385,0.00762,0.61585,0.60513,0.63667,0.3738,1.57866,1.21164,0.00322,0.000812,0.000812,0.000812
50,2588.85,1.66584,1.55854,0.00774,0.6287,0.60784,0.64372,0.38024,1.51884,1.21557,0.00313,0.00078725,0.00078725,0.00078725
51,2640.2,1.68727,1.57396,0.00747,0.67888,0.59804,0.65681,0.39029,1.4738,1.19822,0.00298,0.0007625,0.0007625,0.0007625
52,2690.81,1.60487,1.44837,0.0069,0.69282,0.51471,0.58461,0.34924,1.47085,1.39374,0.00303,0.00073775,0.00073775,0.00073775
53,2742.25,1.69675,1.52134,0.00741,0.67677,0.61765,0.63945,0.37181,1.61579,1.15596,0.00323,0.000713,0.000713,0.000713
54,2793.31,1.6491,1.52614,0.00743,0.6233,0.63235,0.66688,0.41254,1.45268,1.14349,0.00299,0.00068825,0.00068825,0.00068825
55,2844.38,1.62278,1.4763,0.00674,0.64325,0.58824,0.62002,0.34156,1.59635,1.22904,0.00333,0.0006635,0.0006635,0.0006635
56,2895.92,1.56222,1.39483,0.00735,0.64952,0.56863,0.62235,0.36234,1.45972,1.2744,0.0029,0.00063875,0.00063875,0.00063875
57,2946.53,1.58192,1.38415,0.00709,0.6117,0.59804,0.60867,0.36979,1.40724,1.24179,0.00284,0.000614,0.000614,0.000614
58,2997.81,1.59628,1.42568,0.00628,0.65397,0.60218,0.6274,0.35884,1.49008,1.25309,0.0029,0.00058925,0.00058925,0.00058925
59,3049.29,1.57901,1.3643,0.00723,0.67894,0.61275,0.66061,0.37838,1.52287,1.16974,0.0031,0.0005645,0.0005645,0.0005645
60,3100.67,1.60446,1.33026,0.00664,0.61626,0.57468,0.59926,0.347,1.50627,1.28914,0.0031,0.00053975,0.00053975,0.00053975
61,3151.64,1.52776,1.31952,0.00736,0.6237,0.59311,0.63728,0.36564,1.4545,1.26449,0.00281,0.000515,0.000515,0.000515
62,3202.62,1.55755,1.35631,0.00728,0.64381,0.62022,0.62996,0.35475,1.49437,1.25497,0.003,0.00049025,0.00049025,0.00049025
63,3254.44,1.56168,1.30542,0.00681,0.57095,0.61765,0.605,0.35087,1.49351,1.29729,0.00303,0.0004655,0.0004655,0.0004655
64,3305.01,1.51214,1.27357,0.00703,0.58307,0.6444,0.62368,0.36224,1.47926,1.21057,0.00303,0.00044075,0.00044075,0.00044075
65,3356.33,1.51734,1.30063,0.0067,0.6582,0.63245,0.66041,0.39517,1.44574,1.14488,0.00295,0.000416,0.000416,0.000416
66,3402.15,1.43844,1.2389,0.00762,0.63726,0.61145,0.63147,0.36016,1.47114,1.377,0.00297,0.00039125,0.00039125,0.00039125
67,3448.01,1.4013,1.12236,0.00726,0.67366,0.60784,0.66156,0.38617,1.48394,1.11017,0.003,0.0003665,0.0003665,0.0003665
68,3493.7,1.44241,1.17107,0.00705,0.65955,0.63235,0.64006,0.38064,1.43898,1.27698,0.00287,0.00034175,0.00034175,0.00034175
69,3539.23,1.41675,1.09818,0.00699,0.62577,0.61477,0.63426,0.37941,1.43977,1.20666,0.00288,0.000317,0.000317,0.000317
70,3584.93,1.41531,1.07284,0.00774,0.6213,0.65143,0.65412,0.38828,1.49587,1.20514,0.003,0.00029225,0.00029225,0.00029225
71,3631.97,1.41859,1.08613,0.00742,0.65266,0.65686,0.64888,0.38168,1.46794,1.15619,0.00298,0.0002675,0.0002675,0.0002675
72,3677.51,1.37839,1.04398,0.0072,0.63645,0.62255,0.6114,0.36647,1.48298,1.19894,0.00301,0.00024275,0.00024275,0.00024275
73,3722.76,1.39711,1.04141,0.00719,0.58731,0.66176,0.62665,0.37452,1.44598,1.246,0.00294,0.000218,0.000218,0.000218
74,3768.25,1.33045,0.99579,0.00612,0.62039,0.63725,0.65102,0.38431,1.42235,1.23422,0.0029,0.00019325,0.00019325,0.00019325
75,3813.81,1.36694,1.01022,0.00691,0.65397,0.62255,0.65585,0.38861,1.42981,1.1687,0.00284,0.0001685,0.0001685,0.0001685
76,3859.63,1.3919,0.98344,0.00664,0.62062,0.63725,0.65343,0.38808,1.44028,1.17951,0.0028,0.00014375,0.00014375,0.00014375
77,3905.4,1.34669,1.01115,0.00653,0.62283,0.64757,0.65735,0.40062,1.45521,1.18219,0.00296,0.000119,0.000119,0.000119
78,3952.47,1.34631,0.94267,0.00698,0.60886,0.66667,0.66396,0.39637,1.44654,1.16759,0.00297,9.425e-05,9.425e-05,9.425e-05
79,3998.79,1.34754,0.96851,0.00705,0.64819,0.65027,0.67344,0.40099,1.44613,1.14231,0.00296,6.95e-05,6.95e-05,6.95e-05
80,4044.47,1.31491,0.94478,0.00647,0.63481,0.64762,0.67818,0.40089,1.44212,1.15764,0.00295,4.475e-05,4.475e-05,4.475e-05
