epoch,train_loss,val_loss,precision_0_5,recall_0_5,f1_0_5
1,0.3220668472752094,0.2976897656917572,0.9097978227060654,0.8692421991084696,0.8890577507598785
2,0.204769674539846,0.2935488224029541,0.9034175334323923,0.9034175334323923,0.9034175334323923
3,0.17798405115791419,0.26381269097328186,0.9305331179321487,0.8558692421991084,0.891640866873065
4,0.16049830592773284,0.2703826129436493,0.9250764525993884,0.8989598811292719,0.9118311981914092
5,0.1549707159798937,0.2819080650806427,0.9215686274509803,0.9078751857355126,0.9146706586826348
6,0.14590431504151025,0.32796990871429443,0.9029957203994294,0.9405646359583952,0.9213973799126638
7,0.1413225809583758,0.2865842580795288,0.9251497005988024,0.9182763744427934,0.9217002237136466
8,0.13363665597799407,0.2683424651622772,0.9372056514913658,0.8870728083209509,0.9114503816793893
9,0.13064486769974204,0.2763104736804962,0.9322033898305084,0.8989598811292719,0.9152798789712556
10,0.13117080964690478,0.28077954053878784,0.9311926605504587,0.9049034175334324,0.9178598342125094
11,0.12376779009893837,0.2913023829460144,0.9299847792998478,0.9078751857355126,0.9187969924812031
12,0.1251645049280603,0.2962185740470886,0.9294294294294294,0.9197622585438335,0.9245705750560119
13,0.12019138224510421,0.30812808871269226,0.9267563527653214,0.9212481426448736,0.9239940387481371
14,0.1225438686310825,0.3016921281814575,0.9329268292682927,0.9093610698365527,0.9209932279909706
15,0.11852417787394372,0.27947452664375305,0.9361022364217252,0.8707280832095097,0.9022324865280985
16,0.1138843744643253,0.2872988283634186,0.9329173166926678,0.888558692421991,0.9101978691019786
17,0.11336249800398071,0.2936979830265045,0.9342723004694836,0.8870728083209509,0.9100609756097561
18,0.11246418968339994,0.29084697365760803,0.9318885448916409,0.8945022288261516,0.9128127369219106
