epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5344.87,1.76566,1.72141,0.00785,0.58303,0.51114,0.55322,0.29397,1.78651,1.63299,0.00949,0.00098525,0.00098525,0.00098525
43,5416.01,1.71736,1.79539,0.00783,0.56338,0.4916,0.54974,0.29481,1.80421,1.58154,0.00998,0.0009605,0.0009605,0.0009605
44,5487.34,1.81651,1.78424,0.00752,0.51691,0.54202,0.5328,0.26702,1.86432,1.58797,0.01008,0.00093575,0.00093575,0.00093575
45,5557.8,1.74578,1.80204,0.00821,0.62544,0.45605,0.51076,0.26026,1.75416,1.74748,0.00914,0.000911,0.000911,0.000911
46,5628.82,1.73187,1.77717,0.0074,0.57874,0.50798,0.55945,0.29507,1.7954,1.61147,0.00934,0.00088625,0.00088625,0.00088625
47,5700.32,1.71388,1.61422,0.00733,0.58466,0.53232,0.54772,0.30068,1.79954,1.54228,0.00957,0.0008615,0.0008615,0.0008615
48,5771.72,1.69571,1.66422,0.0079,0.6216,0.52101,0.57407,0.30872,1.82488,1.55698,0.00973,0.00083675,0.00083675,0.00083675
49,5842.39,1.66426,1.56572,0.00765,0.6649,0.52941,0.58073,0.30135,1.82905,1.57738,0.00961,0.000812,0.000812,0.000812
50,5913.41,1.68898,1.56018,0.00717,0.63925,0.49885,0.55337,0.29115,1.75854,1.61455,0.00917,0.00078725,0.00078725,0.00078725
51,5984.5,1.68912,1.59958,0.0077,0.56029,0.53782,0.54843,0.29161,1.73191,1.66065,0.00899,0.0007625,0.0007625,0.0007625
52,6055.69,1.67445,1.62544,0.00689,0.53686,0.55037,0.52681,0.27273,1.77725,1.64223,0.00902,0.00073775,0.00073775,0.00073775
53,6127.04,1.6764,1.5591,0.00769,0.60453,0.54622,0.58203,0.3095,1.77261,1.59311,0.00939,0.000713,0.000713,0.000713
54,6198.3,1.62921,1.5053,0.00672,0.72482,0.46482,0.56879,0.30392,1.78302,1.54289,0.00961,0.00068825,0.00068825,0.00068825
55,6268.87,1.63276,1.46424,0.00743,0.60592,0.53782,0.58936,0.31539,1.73017,1.51074,0.00897,0.0006635,0.0006635,0.0006635
56,6340.31,1.60611,1.48241,0.00719,0.62202,0.53933,0.58406,0.3097,1.73414,1.49838,0.00892,0.00063875,0.00063875,0.00063875
57,6411.67,1.62903,1.44322,0.00729,0.61328,0.52941,0.56734,0.30804,1.69808,1.5687,0.00879,0.000614,0.000614,0.000614
58,6482.66,1.62688,1.52288,0.00795,0.64745,0.52471,0.55823,0.30865,1.72096,1.60331,0.00868,0.00058925,0.00058925,0.00058925
59,6553.58,1.59803,1.54417,0.00712,0.58184,0.53782,0.57548,0.32084,1.69808,1.50113,0.00868,0.0005645,0.0005645,0.0005645
60,6624.43,1.57069,1.50101,0.00718,0.54179,0.54622,0.57586,0.32133,1.73687,1.47479,0.00886,0.00053975,0.00053975,0.00053975
61,6695.59,1.59712,1.457,0.00675,0.60949,0.52521,0.58076,0.31347,1.74206,1.56259,0.00936,0.000515,0.000515,0.000515
62,6766.32,1.59128,1.44486,0.00726,0.60344,0.55625,0.58483,0.31825,1.69758,1.52619,0.00881,0.00049025,0.00049025,0.00049025
63,6837.08,1.55317,1.38287,0.00689,0.61929,0.56045,0.60215,0.33239,1.67251,1.53351,0.00816,0.0004655,0.0004655,0.0004655
64,6908.29,1.5658,1.4372,0.00699,0.63871,0.51253,0.5834,0.32593,1.66618,1.54971,0.0084,0.00044075,0.00044075,0.00044075
65,6978.91,1.54553,1.39696,0.00682,0.60726,0.54572,0.58581,0.32718,1.64474,1.53321,0.0081,0.000416,0.000416,0.000416
66,7049.71,1.55559,1.43248,0.00697,0.71822,0.48739,0.5965,0.33687,1.69808,1.53726,0.00905,0.00039125,0.00039125,0.00039125
67,7120.83,1.54297,1.36474,0.0073,0.65647,0.55403,0.60277,0.33669,1.68057,1.50022,0.00918,0.0003665,0.0003665,0.0003665
68,7191.59,1.54344,1.35642,0.00691,0.63107,0.53782,0.59209,0.33099,1.6993,1.53965,0.0091,0.00034175,0.00034175,0.00034175
69,7261.72,1.5039,1.3312,0.00671,0.68081,0.5,0.57866,0.31616,1.65725,1.57918,0.00854,0.000317,0.000317,0.000317
70,7331.98,1.5361,1.29216,0.00672,0.66879,0.4958,0.58761,0.32351,1.66745,1.5229,0.00854,0.00029225,0.00029225,0.00029225
71,7397.97,1.47063,1.25849,0.00711,0.72537,0.4994,0.61074,0.3361,1.70847,1.49638,0.00907,0.0002675,0.0002675,0.0002675
72,7465.45,1.47785,1.20859,0.00737,0.60386,0.54202,0.59907,0.33372,1.66483,1.49379,0.00841,0.00024275,0.00024275,0.00024275
73,7533.68,1.44354,1.15972,0.00697,0.58001,0.55125,0.6001,0.33808,1.71551,1.47579,0.00916,0.000218,0.000218,0.000218
74,7601.55,1.42019,1.12996,0.00702,0.58878,0.57563,0.59865,0.33705,1.6867,1.48439,0.00903,0.00019325,0.00019325,0.00019325
75,7669.03,1.3951,1.11738,0.00702,0.62332,0.58824,0.5989,0.33377,1.70472,1.50573,0.00931,0.0001685,0.0001685,0.0001685
76,7737.44,1.41731,1.10078,0.00682,0.59857,0.58266,0.60235,0.33837,1.68435,1.47203,0.00904,0.00014375,0.00014375,0.00014375
77,7806.15,1.41441,1.11893,0.00701,0.58716,0.58824,0.61172,0.34373,1.66383,1.46823,0.00944,0.000119,0.000119,0.000119
78,7874.01,1.37316,1.10199,0.00706,0.61212,0.59676,0.61579,0.34762,1.64352,1.46038,0.00894,9.425e-05,9.425e-05,9.425e-05
79,7941.1,1.38916,1.07254,0.00698,0.6102,0.58403,0.61482,0.34756,1.64486,1.50155,0.00908,6.95e-05,6.95e-05,6.95e-05
80,8008.53,1.37574,1.0974,0.00684,0.6272,0.59664,0.62097,0.34795,1.67227,1.44204,0.00912,4.475e-05,4.475e-05,4.475e-05
