f1,fn,fp,m,precision,prediction_file,recall,rule,s,s_aug,siglip_threshold,tn,tp,vote_k
0.9549549549549549,6,9,m010,0.9464285714285714,C:\AI\fire_detection\outputs\val_pred_search_and_m010_s020_sa020_vote1_thr0.260592.json,0.9636363636363636,and,s020,sa020,0.260591805,46,159,1
0.9520958083832336,6,10,m010,0.9408284023668639,C:\AI\fire_detection\outputs\val_pred_search_and_m010_s015_sa020_vote1_thr0.260592.json,0.9636363636363636,and,s015,sa020,0.260591805,45,159,1
0.9520958083832336,6,10,m010,0.9408284023668639,C:\AI\fire_detection\outputs\val_pred_search_and_m010_s018_sa020_vote1_thr0.260592.json,0.9636363636363636,and,s018,sa020,0.260591805,45,159,1
0.9520958083832336,6,10,m010,0.9408284023668639,C:\AI\fire_detection\outputs\val_pred_search_and_m010_s020_sa015_vote1_thr0.260592.json,0.9636363636363636,and,s020,sa015,0.260591805,45,159,1
0.9520958083832336,6,10,m010,0.9408284023668639,C:\AI\fire_detection\outputs\val_pred_search_and_m010_s020_sa018_vote1_thr0.260592.json,0.9636363636363636,and,s020,sa018,0.260591805,45,159,1
0.9492537313432835,6,11,m010,0.9352941176470588,C:\AI\fire_detection\outputs\val_pred_search_and_m010_s015_sa015_vote1_thr0.260592.json,0.9636363636363636,and,s015,sa015,0.260591805,44,159,1
0.9492537313432835,6,11,m010,0.9352941176470588,C:\AI\fire_detection\outputs\val_pred_search_and_m010_s015_sa018_vote1_thr0.260592.json,0.9636363636363636,and,s015,sa018,0.260591805,44,159,1
0.9492537313432835,6,11,m010,0.9352941176470588,C:\AI\fire_detection\outputs\val_pred_search_and_m010_s018_sa015_vote1_thr0.260592.json,0.9636363636363636,and,s018,sa015,0.260591805,44,159,1
0.9492537313432835,6,11,m010,0.9352941176470588,C:\AI\fire_detection\outputs\val_pred_search_and_m010_s018_sa018_vote1_thr0.260592.json,0.9636363636363636,and,s018,sa018,0.260591805,44,159,1
0.9489489489489489,7,10,m015,0.9404761904761905,C:\AI\fire_detection\outputs\val_pred_search_and_m015_s020_sa015_vote1_thr0.260592.json,0.9575757575757575,and,s020,sa015,0.260591805,45,158,1
0.9489489489489489,7,10,m015,0.9404761904761905,C:\AI\fire_detection\outputs\val_pred_search_and_m015_s020_sa018_vote1_thr0.260592.json,0.9575757575757575,and,s020,sa018,0.260591805,45,158,1
0.9486404833836858,8,9,m015,0.9457831325301205,C:\AI\fire_detection\outputs\val_pred_search_and_m015_s020_sa020_vote1_thr0.260592.json,0.9515151515151515,and,s020,sa020,0.260591805,46,157,1
0.9461077844311379,7,11,m015,0.9349112426035503,C:\AI\fire_detection\outputs\val_pred_search_and_m015_s015_sa015_vote1_thr0.260592.json,0.9575757575757575,and,s015,sa015,0.260591805,44,158,1
0.9461077844311379,7,11,m015,0.9349112426035503,C:\AI\fire_detection\outputs\val_pred_search_and_m015_s015_sa018_vote1_thr0.260592.json,0.9575757575757575,and,s015,sa018,0.260591805,44,158,1
0.9461077844311379,7,11,m015,0.9349112426035503,C:\AI\fire_detection\outputs\val_pred_search_and_m015_s018_sa015_vote1_thr0.260592.json,0.9575757575757575,and,s018,sa015,0.260591805,44,158,1
0.9461077844311379,7,11,m015,0.9349112426035503,C:\AI\fire_detection\outputs\val_pred_search_and_m015_s018_sa018_vote1_thr0.260592.json,0.9575757575757575,and,s018,sa018,0.260591805,44,158,1
0.9457831325301206,8,10,m015,0.9401197604790419,C:\AI\fire_detection\outputs\val_pred_search_and_m015_s015_sa020_vote1_thr0.260592.json,0.9515151515151515,and,s015,sa020,0.260591805,45,157,1
0.9457831325301206,8,10,m015,0.9401197604790419,C:\AI\fire_detection\outputs\val_pred_search_and_m015_s018_sa020_vote1_thr0.260592.json,0.9515151515151515,and,s018,sa020,0.260591805,45,157,1
0.9449275362318841,2,17,m010,0.9055555555555556,C:\AI\fire_detection\outputs\val_pred_search_or_m010_s015_sa015_vote2_thr0.668532.json,0.9878787878787879,or,s015,sa015,0.668531655,38,163,2
0.9449275362318841,2,17,m010,0.9055555555555556,C:\AI\fire_detection\outputs\val_pred_search_or_m010_s015_sa018_vote2_thr0.668532.json,0.9878787878787879,or,s015,sa018,0.668531655,38,163,2
0.9449275362318841,2,17,m010,0.9055555555555556,C:\AI\fire_detection\outputs\val_pred_search_or_m010_s015_sa020_vote2_thr0.668532.json,0.9878787878787879,or,s015,sa020,0.668531655,38,163,2
0.9446064139941691,3,16,m015,0.9101123595505618,C:\AI\fire_detection\outputs\val_pred_search_or_m015_s015_sa015_vote2_thr0.668532.json,0.9818181818181818,or,s015,sa015,0.668531655,39,162,2
0.9446064139941691,3,16,m015,0.9101123595505618,C:\AI\fire_detection\outputs\val_pred_search_or_m015_s015_sa018_vote2_thr0.668532.json,0.9818181818181818,or,s015,sa018,0.668531655,39,162,2
0.9446064139941691,3,16,m015,0.9101123595505618,C:\AI\fire_detection\outputs\val_pred_search_or_m015_s015_sa020_vote2_thr0.668532.json,0.9818181818181818,or,s015,sa020,0.668531655,39,162,2
0.9418604651162791,3,17,m010,0.9050279329608939,C:\AI\fire_detection\outputs\val_pred_search_or_m010_s018_sa015_vote2_thr0.668532.json,0.9818181818181818,or,s018,sa015,0.668531655,38,162,2
0.9418604651162791,3,17,m010,0.9050279329608939,C:\AI\fire_detection\outputs\val_pred_search_or_m010_s018_sa018_vote2_thr0.668532.json,0.9818181818181818,or,s018,sa018,0.668531655,38,162,2
0.9418604651162791,3,17,m010,0.9050279329608939,C:\AI\fire_detection\outputs\val_pred_search_or_m010_s018_sa020_vote2_thr0.668532.json,0.9818181818181818,or,s018,sa020,0.668531655,38,162,2
0.9415204678362573,4,16,m015,0.9096045197740112,C:\AI\fire_detection\outputs\val_pred_search_or_m015_s018_sa015_vote2_thr0.668532.json,0.9757575757575757,or,s018,sa015,0.668531655,39,161,2
0.9415204678362573,4,16,m015,0.9096045197740112,C:\AI\fire_detection\outputs\val_pred_search_or_m015_s018_sa018_vote2_thr0.668532.json,0.9757575757575757,or,s018,sa018,0.668531655,39,161,2
0.9415204678362573,4,16,m015,0.9096045197740112,C:\AI\fire_detection\outputs\val_pred_search_or_m015_s018_sa020_vote2_thr0.668532.json,0.9757575757575757,or,s018,sa020,0.668531655,39,161,2
0.9398280802292264,1,20,m010,0.8913043478260869,C:\AI\fire_detection\outputs\val_pred_search_or_m010_s020_sa020_vote1_thr0.668532.json,0.9939393939393939,or,s020,sa020,0.668531655,35,164,1
