epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5812.14,1.72598,1.56133,0.00757,0.56096,0.5637,0.57249,0.31483,1.71336,1.47305,0.00817,0.00098525,0.00098525,0.00098525
43,5948.59,1.70148,1.54054,0.00722,0.60881,0.54622,0.60136,0.32402,1.68753,1.52099,0.00821,0.0009605,0.0009605,0.0009605
44,6084.26,1.74046,1.501,0.00733,0.57826,0.53578,0.58096,0.31823,1.7462,1.60955,0.00841,0.00093575,0.00093575,0.00093575
45,6220.42,1.69149,1.54686,0.00726,0.5865,0.56303,0.58152,0.31063,1.68447,1.56479,0.00785,0.000911,0.000911,0.000911
46,6356.65,1.71377,1.51782,0.00729,0.65429,0.54202,0.59679,0.32409,1.73974,1.41585,0.00851,0.00088625,0.00088625,0.00088625
47,6492.7,1.71533,1.49027,0.00692,0.61503,0.52101,0.59272,0.32742,1.71331,1.4611,0.00774,0.0008615,0.0008615,0.0008615
48,6629.05,1.67216,1.45534,0.00739,0.56041,0.58387,0.60556,0.32785,1.71268,1.45143,0.00859,0.00083675,0.00083675,0.00083675
49,6764.28,1.73158,1.4729,0.00731,0.62091,0.52101,0.59142,0.3258,1.70642,1.43835,0.00845,0.000812,0.000812,0.000812
50,6900.8,1.67376,1.45383,0.00701,0.58774,0.55882,0.60272,0.32936,1.69796,1.41781,0.00822,0.00078725,0.00078725,0.00078725
51,7037.69,1.64476,1.44126,0.00689,0.65288,0.54622,0.61712,0.34922,1.67526,1.3532,0.00838,0.0007625,0.0007625,0.0007625
52,7173.87,1.67278,1.41035,0.00691,0.63181,0.55042,0.61815,0.32856,1.67865,1.4204,0.00811,0.00073775,0.00073775,0.00073775
53,7310.87,1.66665,1.42374,0.00716,0.6033,0.58403,0.62093,0.32898,1.71514,1.42909,0.0085,0.000713,0.000713,0.000713
54,7447.15,1.6827,1.44494,0.00686,0.5945,0.54202,0.59371,0.3314,1.62985,1.46212,0.00766,0.00068825,0.00068825,0.00068825
55,7583.46,1.62582,1.34378,0.00666,0.61382,0.58103,0.6079,0.33635,1.63409,1.39601,0.00816,0.0006635,0.0006635,0.0006635
56,7721.16,1.64023,1.35997,0.00671,0.64106,0.59664,0.64342,0.35795,1.66122,1.31808,0.00798,0.00063875,0.00063875,0.00063875
57,7857.18,1.63282,1.3642,0.00687,0.60766,0.58568,0.6312,0.33893,1.67036,1.36069,0.00837,0.000614,0.000614,0.000614
58,7994.08,1.61671,1.33429,0.0068,0.61482,0.58349,0.62003,0.33463,1.66657,1.51699,0.00849,0.00058925,0.00058925,0.00058925
59,8130.53,1.60314,1.34554,0.00671,0.67303,0.52758,0.61844,0.3446,1.65398,1.36619,0.00816,0.0005645,0.0005645,0.0005645
60,8267.12,1.61478,1.30908,0.00665,0.68837,0.57563,0.63908,0.34569,1.67941,1.36239,0.00839,0.00053975,0.00053975,0.00053975
61,8405.05,1.59401,1.28621,0.00655,0.65054,0.57143,0.62412,0.33886,1.66365,1.39392,0.00828,0.000515,0.000515,0.000515
62,8541.77,1.60359,1.29049,0.00668,0.62596,0.62581,0.6274,0.34458,1.63023,1.39432,0.00764,0.00049025,0.00049025,0.00049025
63,8678.85,1.59724,1.28454,0.00652,0.65232,0.58824,0.63341,0.35623,1.66808,1.4231,0.00834,0.0004655,0.0004655,0.0004655
64,8816.12,1.58501,1.29007,0.0063,0.60588,0.64706,0.65728,0.36218,1.62748,1.36291,0.00772,0.00044075,0.00044075,0.00044075
65,8952.78,1.60279,1.27301,0.0065,0.70556,0.55042,0.66531,0.36133,1.63145,1.34808,0.00779,0.000416,0.000416,0.000416
66,9089.44,1.57403,1.243,0.00628,0.64038,0.61765,0.66768,0.37255,1.64482,1.29508,0.00812,0.00039125,0.00039125,0.00039125
67,9226.64,1.5733,1.23876,0.00647,0.60614,0.61765,0.65085,0.35912,1.63518,1.35057,0.00818,0.0003665,0.0003665,0.0003665
68,9363.61,1.56377,1.21989,0.00649,0.68154,0.61765,0.65897,0.37571,1.63868,1.35922,0.00819,0.00034175,0.00034175,0.00034175
69,9515.19,1.55097,1.254,0.0065,0.63383,0.65458,0.65821,0.37809,1.62185,1.32184,0.00809,0.000317,0.000317,0.000317
70,9672.69,1.54461,1.19488,0.0063,0.66918,0.59495,0.65475,0.37027,1.63167,1.31466,0.00782,0.00029225,0.00029225,0.00029225
71,9811.51,1.49983,1.14171,0.00679,0.68366,0.57983,0.64565,0.36018,1.65065,1.35183,0.00784,0.0002675,0.0002675,0.0002675
72,9950.32,1.49642,1.16371,0.00721,0.72404,0.54202,0.64385,0.346,1.64134,1.41329,0.00825,0.00024275,0.00024275,0.00024275
73,10094.2,1.48352,1.09054,0.00712,0.66424,0.59017,0.63768,0.35031,1.6384,1.32771,0.00807,0.000218,0.000218,0.000218
74,10233.8,1.49028,1.07012,0.00704,0.66442,0.58824,0.65035,0.35574,1.62967,1.3608,0.00802,0.00019325,0.00019325,0.00019325
75,10372.9,1.4577,1.07579,0.00718,0.72339,0.5604,0.65324,0.36441,1.62827,1.3606,0.0078,0.0001685,0.0001685,0.0001685
76,10513.6,1.49394,1.05088,0.00713,0.67878,0.61263,0.66539,0.37066,1.64408,1.3175,0.0079,0.00014375,0.00014375,0.00014375
77,10652.8,1.44907,1.06041,0.00658,0.6661,0.64706,0.67312,0.36843,1.63283,1.36203,0.00775,0.000119,0.000119,0.000119
78,10793.7,1.46959,1.01958,0.00695,0.66589,0.65546,0.67581,0.37862,1.61897,1.32463,0.00774,9.425e-05,9.425e-05,9.425e-05
79,10935.8,1.45219,1.03936,0.0069,0.69782,0.61129,0.67277,0.37476,1.62512,1.33085,0.00774,6.95e-05,6.95e-05,6.95e-05
80,11075.8,1.44972,1.03412,0.00684,0.69092,0.62605,0.67098,0.37571,1.60978,1.35716,0.00756,4.475e-05,4.475e-05,4.475e-05
