epoch,train_loss,val_loss,precision_0_5,recall_0_5,f1_0_5
1,0.684668073870919,0.62522292137146,0.8263888888888888,0.7212121212121212,0.7702265372168284
2,0.5226182374087247,0.5324176549911499,0.8888888888888888,0.8242424242424242,0.8553459119496856
3,0.4445955980907787,0.5014878511428833,0.8987341772151899,0.8606060606060606,0.8792569659442725
4,0.40148619575933975,0.4874040484428406,0.9032258064516129,0.8484848484848485,0.875
5,0.3904699043794112,0.4846525192260742,0.8909090909090909,0.8909090909090909,0.8909090909090909
6,0.3467906339602037,0.4598310887813568,0.9006211180124224,0.8787878787878788,0.8895705521472392
7,0.3425824978134849,0.4446184039115906,0.9171974522292994,0.8727272727272727,0.8944099378881988
8,0.3146937505765395,0.45349809527397156,0.896969696969697,0.896969696969697,0.896969696969697
9,0.29438402463089336,0.434207946062088,0.9119496855345912,0.8787878787878788,0.8950617283950617
10,0.29551186182282185,0.4537775218486786,0.893491124260355,0.9151515151515152,0.9041916167664671
11,0.27645937177267943,0.43033167719841003,0.906832298136646,0.8848484848484849,0.8957055214723927
12,0.27144600749015807,0.44172871112823486,0.8975903614457831,0.9030303030303031,0.9003021148036254
13,0.26294709173115816,0.43605318665504456,0.9030303030303031,0.9030303030303031,0.9030303030303031
14,0.2354906504804438,0.44112539291381836,0.8975903614457831,0.9030303030303031,0.9003021148036254
15,0.2422746029767123,0.44534236192703247,0.896969696969697,0.896969696969697,0.896969696969697
16,0.23741244131868536,0.4445350170135498,0.896969696969697,0.896969696969697,0.896969696969697
17,0.23850079314275222,0.4486805498600006,0.8975903614457831,0.9030303030303031,0.9003021148036254
18,0.23188343508677048,0.4275055229663849,0.906832298136646,0.8848484848484849,0.8957055214723927
19,0.2343655071475289,0.4454343020915985,0.893491124260355,0.9151515151515152,0.9041916167664671
20,0.23410438597202302,0.4711567461490631,0.8742857142857143,0.9272727272727272,0.9
21,0.22052864621986043,0.43060433864593506,0.8975903614457831,0.9030303030303031,0.9003021148036254
22,0.22620510025457902,0.44443777203559875,0.888235294117647,0.9151515151515152,0.9014925373134328
23,0.22086308761076492,0.4225273132324219,0.9079754601226994,0.896969696969697,0.9024390243902439
24,0.22026711431416598,0.43289637565612793,0.8982035928143712,0.9090909090909091,0.9036144578313253
25,0.20230600075288252,0.4738192856311798,0.8813559322033898,0.9454545454545454,0.9122807017543859
26,0.19754970344630154,0.41842737793922424,0.9090909090909091,0.9090909090909091,0.9090909090909091
27,0.19505602283911272,0.4618072807788849,0.8908045977011494,0.9393939393939394,0.9144542772861357
28,0.19807630533521825,0.4301907420158386,0.8988095238095238,0.9151515151515152,0.9069069069069069
29,0.192088520526886,0.4507795572280884,0.8947368421052632,0.9272727272727272,0.9107142857142857
30,0.1823931702158668,0.4319964349269867,0.9090909090909091,0.9090909090909091,0.9090909090909091
31,0.18635850115255875,0.45742130279541016,0.8850574712643678,0.9333333333333333,0.9085545722713865
32,0.19374308802864768,0.4239548146724701,0.9030303030303031,0.9030303030303031,0.9030303030303031
33,0.1938411997123198,0.4555117189884186,0.8953488372093024,0.9333333333333333,0.913946587537092
34,0.192495865307071,0.44474995136260986,0.8941176470588236,0.9212121212121213,0.9074626865671642
35,0.17727844417095184,0.4981271028518677,0.88,0.9333333333333333,0.9058823529411765
36,0.19283186143094844,0.4554421305656433,0.8875739644970414,0.9090909090909091,0.8982035928143712
37,0.16705112850124185,0.4669024646282196,0.884393063583815,0.9272727272727272,0.9053254437869822
38,0.17284159660339354,0.47017747163772583,0.8895348837209303,0.9272727272727272,0.9080118694362018
39,0.16796232272278178,0.4455086588859558,0.8994082840236687,0.9212121212121213,0.9101796407185628
40,0.17831017700108615,0.4906483292579651,0.8850574712643678,0.9333333333333333,0.9085545722713865
41,0.17418532940474424,0.44784966111183167,0.9,0.9272727272727272,0.9134328358208955
